,0
11,"[[0.28456033 0.27205213 0.20848372 0.13520904 0.09969478]
 [0.41241298 0.29128922 0.16257012 0.09717206 0.03655562]
 [0.33030433 0.24287535 0.19442406 0.14151832 0.09087794]
 [0.28935596 0.21608568 0.19530841 0.18304666 0.1162033 ]
 [0.37168632 0.3609134  0.22695634 0.03957902 0.00086493]]"
12,"[[0.35614518 0.23010249 0.21785387 0.1117432  0.08415527]
 [0.28399709 0.28130344 0.22940774 0.12208913 0.08320259]
 [0.27574264 0.250268   0.21069273 0.15038237 0.11291425]
 [0.35143598 0.22506493 0.15785031 0.13555795 0.13009084]
 [0.47442647 0.17238563 0.16439555 0.0999296  0.08886274]]"
13,"[[0.47365431 0.26776841 0.13618602 0.09093703 0.03145423]
 [0.31839114 0.29207493 0.19257438 0.17491472 0.02204482]
 [0.38275475 0.34072604 0.11290744 0.09127235 0.07233942]
 [0.35135948 0.31682762 0.26114621 0.06115105 0.00951564]
 [0.31292026 0.29667262 0.20056503 0.14750596 0.04233612]]"
14,"[[0.27578835 0.25822241 0.18578837 0.14143162 0.13876925]
 [0.35630161 0.33964924 0.26071828 0.03468693 0.00864394]
 [0.39795713 0.2334428  0.19774964 0.0991165  0.07173393]
 [0.68995481 0.13060608 0.08601932 0.08235403 0.01106576]
 [0.31593705 0.23246745 0.19949057 0.14303383 0.1090711 ]]"
15,"[[0.59457733 0.20187807 0.11330503 0.06938768 0.02085189]
 [0.26221241 0.26020357 0.20049223 0.15490193 0.12218986]
 [0.27740616 0.22735709 0.21081578 0.16106304 0.12335793]
 [0.24460155 0.21316137 0.20547851 0.18570569 0.15105288]
 [0.39692327 0.22427704 0.20116349 0.15065544 0.02698077]]"
16,"[[0.35147597 0.34305666 0.1574277  0.09609665 0.05194302]
 [0.36228727 0.304113   0.12395835 0.11730441 0.09233698]
 [0.26279315 0.21105798 0.19348831 0.18445135 0.14820921]
 [0.3459606  0.34079915 0.1168894  0.11426832 0.08208253]
 [0.28961316 0.24689799 0.24089589 0.18773103 0.03486192]]"
17,"[[0.35115904 0.34072828 0.23073128 0.04290606 0.03447535]
 [0.37606398 0.31039014 0.20748676 0.10337325 0.00268588]
 [0.44099711 0.37211919 0.10643001 0.05362497 0.02682872]
 [0.28318672 0.2531215  0.19384888 0.16832158 0.10152131]
 [0.24904156 0.23228402 0.22846248 0.20391315 0.08629879]]"
18,"[[0.40786446 0.30642863 0.18845951 0.07558084 0.02166656]
 [0.35919339 0.33848315 0.15983922 0.08566397 0.05682027]
 [0.26079522 0.24952264 0.24536859 0.18833545 0.0559781 ]
 [0.4414493  0.21335979 0.18594637 0.08960957 0.06963496]
 [0.29301944 0.23994774 0.21224535 0.20957692 0.04521055]]"
19,"[[0.3302478  0.30019297 0.21669338 0.14097119 0.01189467]
 [0.37407763 0.24366439 0.16676848 0.14043347 0.07505604]
 [0.30274482 0.22511369 0.20117465 0.16001262 0.11095422]
 [0.40349918 0.27820737 0.17190354 0.14100126 0.00538865]
 [0.30947341 0.22344458 0.18668226 0.18335036 0.0970494 ]]"
20,"[[0.35660727 0.28608042 0.22004511 0.09733286 0.03993434]
 [0.36558825 0.2559855  0.23729648 0.13510242 0.00602734]
 [0.30601015 0.30589521 0.10907957 0.17640192 0.10261314]
 [0.32572606 0.24926061 0.20157441 0.11933593 0.104103  ]
 [0.35011792 0.27936577 0.25578102 0.0929031  0.02183219]]"
21,"[[0.57623496 0.24307158 0.08491446 0.07453446 0.02124454]
 [0.29287183 0.2567023  0.23077492 0.12925363 0.09039733]
 [0.39378528 0.27703801 0.22507569 0.08134066 0.02276037]
 [0.30560735 0.26617335 0.23432282 0.16477493 0.02912155]
 [0.29952398 0.20684858 0.18695904 0.17517043 0.13149797]]"
22,"[[0.31657176 0.28590859 0.17631934 0.11411062 0.10708969]
 [0.22011526 0.22005749 0.2185743  0.19163973 0.14961322]
 [0.29005166 0.21778971 0.17640019 0.17045918 0.14529926]
 [0.34671181 0.23525357 0.18959471 0.14069627 0.08774363]
 [0.36553305 0.26575387 0.19108584 0.16768156 0.00994569]]"
23,"[[0.47461199 0.21986276 0.14169956 0.11180056 0.05202513]
 [0.40159045 0.26629578 0.26339802 0.04274134 0.02597442]
 [0.33429526 0.20810727 0.1945248  0.17226077 0.09081191]
 [0.32314859 0.26476178 0.17801167 0.12910401 0.10497394]
 [0.30087662 0.30000365 0.21849466 0.11108387 0.06954121]]"
24,"[[0.29717001 0.28228972 0.21514349 0.18345325 0.02194354]
 [0.48099929 0.44989716 0.04203199 0.01700084 0.01007071]
 [0.32026926 0.26558    0.19323794 0.19266339 0.02824941]
 [0.37133676 0.35040947 0.15792855 0.08330229 0.03702293]
 [0.24389986 0.23098361 0.21136137 0.20568593 0.10806924]]"
25,"[[0.36077843 0.33124407 0.17604246 0.08414304 0.047792  ]
 [0.34892692 0.30849361 0.20161385 0.13238878 0.00857683]
 [0.44776198 0.26385273 0.17980777 0.05551039 0.05306714]
 [0.24146345 0.2208115  0.20465282 0.16907756 0.16399467]
 [0.31853595 0.20647272 0.19906769 0.14898049 0.12694315]]"
26,"[[0.31554179 0.29755764 0.21850935 0.11877012 0.04962111]
 [0.39287081 0.37739613 0.15318499 0.0463248  0.03022326]
 [0.33239752 0.2146106  0.21122737 0.17463703 0.06712747]
 [0.39538131 0.34707866 0.1146607  0.08951092 0.05336841]
 [0.36601723 0.28060496 0.19409051 0.10926601 0.05002129]]"
27,"[[0.29803585 0.20992346 0.20347096 0.16396559 0.12460414]
 [0.34802256 0.24322071 0.21790791 0.10147317 0.08937565]
 [0.28178897 0.27624124 0.23477571 0.19900949 0.00818459]
 [0.35779161 0.20968491 0.18056669 0.16858729 0.08336949]
 [0.27123842 0.25423964 0.24180029 0.11716423 0.11555741]]"
28,"[[0.26380876 0.26163115 0.21369536 0.15951588 0.10134885]
 [0.29871464 0.29206517 0.26978478 0.09278927 0.04664613]
 [0.23965932 0.22454353 0.18737715 0.18616925 0.16225075]
 [0.40375779 0.35525859 0.16964911 0.04773855 0.02359597]
 [0.27002554 0.25598264 0.2383408  0.21389111 0.02175991]]"
29,"[[0.29125627 0.26271553 0.25156981 0.15819925 0.03625914]
 [0.28440249 0.27209996 0.23533228 0.19478162 0.01338365]
 [0.29882868 0.27110069 0.26772079 0.13206256 0.03028728]
 [0.47855098 0.17326854 0.14789474 0.14525451 0.05503123]
 [0.29325708 0.27207372 0.24094744 0.13879865 0.0549231 ]]"
30,"[[0.33182891 0.30635365 0.24549997 0.07502958 0.04128789]
 [0.38479059 0.36435375 0.13014138 0.08312411 0.03759016]
 [0.27639722 0.30860745 0.16163133 0.13786791 0.11549609]
 [0.41891685 0.2182381  0.2093556  0.1195863  0.03390316]
 [0.36013304 0.18746285 0.1679226  0.16427824 0.12020328]]"
31,"[[0.34990754 0.22989637 0.21112583 0.14291847 0.06615179]
 [0.27450873 0.26505488 0.25178943 0.13604379 0.07260318]
 [0.36636819 0.35453062 0.20363266 0.05042145 0.02504707]
 [0.35749998 0.2936183  0.19245641 0.0931679  0.06325741]
 [0.42186354 0.24272676 0.2060146  0.06742891 0.06196619]]"
32,"[[0.3295548  0.24558577 0.16631457 0.13288512 0.12565974]
 [0.35362105 0.24174192 0.21927051 0.12221869 0.06314784]
 [0.35044999 0.2139685  0.1787307  0.15838352 0.09846728]
 [0.37730296 0.27702136 0.18140218 0.15028612 0.01398738]
 [0.28912002 0.2838489  0.21899228 0.18749096 0.02054783]]"
33,"[[0.33345234 0.27366994 0.15115492 0.15087418 0.09084863]
 [0.36876621 0.24005997 0.22905944 0.08900579 0.07310859]
 [0.36137311 0.27655499 0.22068377 0.09823534 0.04315279]
 [0.39548073 0.31857102 0.2000978  0.0501128  0.03573765]
 [0.25936709 0.20766625 0.18974234 0.17932417 0.16390015]]"
34,"[[0.32324586 0.30961772 0.17025772 0.13193264 0.06494607]
 [0.31972457 0.23459378 0.17398545 0.16662048 0.10507573]
 [0.3949148  0.3178992  0.16830317 0.08349741 0.03538542]
 [0.51301642 0.3066636  0.08563054 0.07101687 0.02367258]
 [0.35872181 0.26161765 0.25832397 0.11869584 0.00264073]]"
35,"[[0.28221473 0.27996644 0.22602277 0.20513832 0.00665774]
 [0.28091417 0.20851295 0.20453129 0.19289269 0.1131489 ]
 [0.27352809 0.2640904  0.22835849 0.17778064 0.05624238]
 [0.302518   0.26486342 0.17353391 0.1438079  0.11527677]
 [0.39512056 0.34695656 0.11968383 0.10608692 0.03215213]]"
36,"[[0.27731786 0.27457947 0.21557448 0.18489077 0.04763743]
 [0.34065333 0.2385865  0.20481791 0.20281103 0.01313122]
 [0.29895707 0.24087027 0.2343705  0.17065373 0.05514842]
 [0.29201189 0.2561491  0.22159863 0.11976838 0.110472  ]
 [0.27366251 0.26732645 0.23931644 0.1839368  0.03575781]]"
37,"[[0.31286188 0.26526995 0.25848041 0.10361155 0.0597762 ]
 [0.55019884 0.19681858 0.13995292 0.07243527 0.04059439]
 [0.49678492 0.31401332 0.14485437 0.00197092 0.04237647]
 [0.28815957 0.27961195 0.22555488 0.17799277 0.02868084]
 [0.38951499 0.25270134 0.23120606 0.09734377 0.02923384]]"
38,"[[0.37775235 0.26765553 0.198362   0.15319658 0.00303354]
 [0.36268175 0.32346395 0.19551128 0.11242961 0.00591341]
 [0.49374576 0.26689354 0.13091394 0.06069069 0.04775606]
 [0.28569078 0.24260349 0.2321802  0.22850135 0.01102418]
 [0.41378012 0.27205559 0.21835302 0.0896451  0.00616617]]"
39,"[[0.463639   0.28847523 0.11044056 0.1058708  0.03157442]
 [0.46628575 0.28511539 0.20627936 0.03358568 0.00873383]
 [0.42702281 0.29619604 0.19393857 0.07461732 0.00822526]
 [0.34245423 0.22057243 0.16941367 0.16343098 0.10412869]
 [0.431204   0.32417983 0.17123763 0.03694306 0.03643548]]"
40,"[[0.31551289 0.23734164 0.21570421 0.21433404 0.01710722]
 [0.44169739 0.30837038 0.17785973 0.0450754  0.02699709]
 [0.41745975 0.27834372 0.25189865 0.03965411 0.01264377]
 [0.29363026 0.27358949 0.21268045 0.1304533  0.0896465 ]
 [0.38339647 0.23672411 0.23120739 0.07926503 0.069407  ]]"
41,"[[0.27623557 0.27593917 0.19770044 0.16291636 0.08720847]
 [0.6620072  0.14843719 0.07269805 0.06854037 0.0483172 ]
 [0.33441095 0.28266045 0.19931359 0.10885011 0.0747649 ]
 [0.36678211 0.27225408 0.18794105 0.09223615 0.08078661]
 [0.33170421 0.30974612 0.17633489 0.09504825 0.08716653]]"
42,"[[0.27233375 0.25620416 0.16650921 0.17973467 0.12521821]
 [0.37761988 0.30677622 0.2003226  0.1088314  0.0064499 ]
 [0.31833865 0.25788131 0.15752833 0.13638123 0.12987047]
 [0.34909138 0.28237125 0.28129318 0.07891618 0.008328  ]
 [0.26358404 0.26278076 0.24926886 0.19318253 0.03118381]]"
43,"[[0.53446198 0.22039693 0.18642358 0.03350511 0.0252124 ]
 [0.35233553 0.2635119  0.17599121 0.14024059 0.06792077]
 [0.27804898 0.23745621 0.22911229 0.20649325 0.04888928]
 [0.38386052 0.30107646 0.1350525  0.09422538 0.08578514]
 [0.25331366 0.24628542 0.23254189 0.13543421 0.13242483]]"
44,"[[0.37367358 0.26948462 0.21248781 0.09859986 0.04575413]
 [0.34462132 0.24352488 0.23004564 0.13332136 0.0484868 ]
 [0.26082577 0.25060121 0.17805436 0.16462596 0.1458927 ]
 [0.29737348 0.26071008 0.17885507 0.14188136 0.12118001]
 [0.26528777 0.24401331 0.18319872 0.16309216 0.14440804]]"
45,"[[0.28144073 0.25593291 0.2246958  0.17824326 0.0596873 ]
 [0.37651875 0.275908   0.23739505 0.09384206 0.01633614]
 [0.35054563 0.21502462 0.17286254 0.15930014 0.10226707]
 [0.33458186 0.27940314 0.2581669  0.10252567 0.02532243]
 [0.3035258  0.28199949 0.24494234 0.09045303 0.07907934]]"
46,"[[0.28342289 0.22742549 0.17170354 0.16116195 0.15628613]
 [0.27330113 0.26153037 0.18485868 0.15648337 0.12382645]
 [0.31922663 0.28473392 0.17930879 0.14239908 0.07433158]
 [0.43392718 0.21368609 0.19591214 0.11178481 0.04468977]
 [0.34726091 0.33135473 0.17302452 0.14375805 0.00460178]]"
47,"[[0.4871234  0.21680676 0.20975186 0.04731227 0.03900571]
 [0.30395537 0.27862639 0.20094032 0.19988592 0.01659201]
 [0.31317973 0.29762089 0.16425012 0.14418396 0.08076531]
 [0.31258864 0.29624001 0.2738097  0.09007576 0.0272859 ]
 [0.36366758 0.23950368 0.23209311 0.14820222 0.01653341]]"
48,"[[0.34425431 0.31886018 0.23670162 0.05146264 0.04872125]
 [0.30440696 0.25939002 0.15107413 0.14303168 0.14209721]
 [0.32094887 0.30412283 0.24786426 0.07655629 0.05050775]
 [0.46232777 0.37860233 0.07168985 0.06114377 0.02623628]
 [0.379186   0.2881642  0.19584414 0.11712862 0.01967704]]"
49,"[[0.45199898 0.32881805 0.16775723 0.04751253 0.00391321]
 [0.39321305 0.21181721 0.18410588 0.18309657 0.02776729]
 [0.33566978 0.30688026 0.16521056 0.1089224  0.08331699]
 [0.32015938 0.28013682 0.16842012 0.13000375 0.10127993]
 [0.35797651 0.35683628 0.19584314 0.06690953 0.02243454]]"
50,"[[0.41819031 0.29091707 0.1497047  0.09077987 0.05040804]
 [0.27021547 0.21518492 0.20713902 0.19767772 0.10978288]
 [0.30023777 0.29372797 0.15902975 0.14197992 0.10502459]
 [0.31168113 0.29504754 0.14367929 0.13852656 0.11106549]
 [0.27526158 0.24421133 0.23899139 0.13078216 0.11075353]]"
51,"[[0.47352165 0.4077997  0.09547894 0.02057394 0.00262577]
 [0.29003027 0.20969634 0.20758346 0.20040463 0.09228531]
 [0.42610998 0.19148789 0.12987407 0.12839023 0.12413783]
 [0.3921391  0.32356967 0.13810616 0.08591073 0.06027434]
 [0.42003309 0.27711898 0.15047859 0.09118247 0.06118688]]"
52,"[[0.46769041 0.28922497 0.08786529 0.07803236 0.07718698]
 [0.44919924 0.32675638 0.21032874 0.01209502 0.00162063]
 [0.39338231 0.37442597 0.15946436 0.06863584 0.00409152]
 [0.29037159 0.25760243 0.23453902 0.172924   0.04456295]
 [0.26527025 0.2588475  0.24978004 0.13677166 0.08933055]]"
53,"[[0.30228497 0.27724953 0.20846441 0.15141148 0.06058962]
 [0.23711897 0.2088238  0.1923527  0.1874162  0.17428832]
 [0.36996793 0.22194812 0.17656212 0.15621345 0.07530837]
 [0.33196515 0.36797762 0.19657414 0.0641444  0.03933868]
 [0.36537947 0.32753068 0.17329659 0.11730133 0.01649193]]"
54,"[[0.31077164 0.26407166 0.1924756  0.14154284 0.09113826]
 [0.49750891 0.32103908 0.15305262 0.02510809 0.0032913 ]
 [0.27703685 0.25604404 0.245979   0.15610606 0.06483404]
 [0.33792747 0.30246587 0.18705905 0.09555508 0.07699253]
 [0.35883095 0.21233937 0.21025955 0.19198162 0.02658851]]"
55,"[[0.38371837 0.26807544 0.22592281 0.07212787 0.05015551]
 [0.35952441 0.20860455 0.19950963 0.17177565 0.06058576]
 [0.29982472 0.26516039 0.24296525 0.10137195 0.09067768]
 [0.40318653 0.24514847 0.19735641 0.08990921 0.06439937]
 [0.3806423  0.32883446 0.13340089 0.08257451 0.07454784]]"
56,"[[0.37572011 0.3726421  0.15798373 0.07830386 0.0153502 ]
 [0.30833159 0.26690278 0.21228473 0.16097204 0.05150885]
 [0.34166412 0.23259706 0.19129083 0.14124429 0.09320369]
 [0.23095559 0.2441582  0.22459518 0.1684786  0.13181242]
 [0.45202178 0.31074795 0.105808   0.06705913 0.06436314]]"
57,"[[0.46877907 0.24812805 0.15602554 0.07986913 0.04719821]
 [0.53109468 0.2431639  0.10613367 0.09584498 0.02376277]
 [0.32032415 0.21782782 0.2162811  0.21399731 0.03156963]
 [0.37179536 0.21170378 0.18816029 0.13244727 0.0958933 ]
 [0.29384737 0.23533334 0.22824196 0.16369323 0.0788841 ]]"
58,"[[0.24057978 0.2257161  0.21717066 0.18920005 0.1273334 ]
 [0.36994778 0.30512044 0.23502211 0.08450731 0.00540236]
 [0.30535326 0.25454017 0.18227543 0.1822052  0.07562593]
 [0.31924271 0.2955637  0.18753884 0.18428906 0.01336569]
 [0.32867712 0.23854735 0.21998338 0.13538362 0.07740854]]"
59,"[[0.34455309 0.32592147 0.20569385 0.07990697 0.04392462]
 [0.36684742 0.31669082 0.16176321 0.07838902 0.07630952]
 [0.27789545 0.26654499 0.20680312 0.18409216 0.06466429]
 [0.35150329 0.29789494 0.21382463 0.11061433 0.0261628 ]
 [0.31692951 0.24845284 0.22068351 0.15884657 0.05508757]]"
60,"[[0.33144474 0.26067397 0.17231058 0.1656006  0.0699701 ]
 [0.32097374 0.24852857 0.21002885 0.132427   0.08804186]
 [0.36171072 0.30108447 0.16139382 0.14238993 0.03342106]
 [0.2543386  0.25384006 0.20062976 0.17510557 0.11608602]
 [0.35279567 0.34508681 0.22279968 0.07269194 0.00662589]]"
61,"[[0.27446582 0.25274706 0.24108059 0.21695739 0.01474915]
 [0.26253738 0.24168628 0.22678054 0.1966564  0.07233939]
 [0.27927297 0.26924803 0.23642379 0.1701663  0.04488891]
 [0.42673679 0.35273729 0.19440499 0.01489313 0.0112278 ]
 [0.31116606 0.2983132  0.18197031 0.15502967 0.05352076]]"
62,"[[0.34999369 0.28551745 0.2126644  0.13994677 0.0118777 ]
 [0.32236233 0.26958824 0.23549618 0.14178932 0.03076393]
 [0.32975189 0.31647962 0.18202859 0.11222332 0.05951658]
 [0.39709365 0.27357372 0.15349663 0.11137303 0.06446297]
 [0.35946606 0.34967885 0.16980499 0.07107945 0.04997064]]"
63,"[[0.32629732 0.28939192 0.2577058  0.12300518 0.00359979]
 [0.40842409 0.27614263 0.18721404 0.09802019 0.03019906]
 [0.42496388 0.34863249 0.10975785 0.03294244 0.08370333]
 [0.2624955  0.26047041 0.25822386 0.21049753 0.0083127 ]
 [0.55853334 0.23981869 0.10065488 0.05930307 0.04169002]]"
64,"[[0.54069347 0.18314297 0.17750404 0.08049649 0.01816304]
 [0.36307322 0.2474787  0.20839142 0.09715808 0.08389858]
 [0.29566317 0.25943854 0.22921846 0.12729909 0.08838073]
 [0.60018023 0.20054894 0.12155267 0.05974567 0.0179725 ]
 [0.40932887 0.33169425 0.16808958 0.08305555 0.00783175]]"
65,"[[0.33765723 0.26573221 0.22933651 0.1542204  0.01305365]
 [0.28208087 0.24422373 0.24193387 0.21286497 0.01889655]
 [0.37869803 0.24471493 0.17817701 0.11417035 0.08423968]
 [0.24733403 0.23825529 0.2158494  0.15372316 0.14483811]
 [0.25943092 0.24743693 0.22045819 0.21691326 0.0557607 ]]"
66,"[[0.389294   0.32466308 0.11762935 0.11647418 0.0519394 ]
 [0.35751316 0.32060324 0.24368353 0.04373534 0.03446474]
 [0.30725182 0.25609475 0.1716616  0.13811266 0.12687918]
 [0.32039057 0.28625655 0.16202006 0.15167628 0.07965654]
 [0.26509565 0.25851094 0.25285547 0.19701073 0.02652721]]"
67,"[[0.28790053 0.26348637 0.24746874 0.19202186 0.00912251]
 [0.43016665 0.37711974 0.11923055 0.0685773  0.00490577]
 [0.3162244  0.26023091 0.25365541 0.1308575  0.03903178]
 [0.24811377 0.22809272 0.22769534 0.22690956 0.0691886 ]
 [0.29969442 0.26149415 0.21128909 0.14009011 0.08743222]]"
68,"[[0.27168779 0.26455853 0.25674091 0.15747922 0.04953354]
 [0.34931231 0.33654035 0.18728789 0.09392326 0.03293619]
 [0.40229992 0.25296704 0.21901128 0.10802677 0.01769499]
 [0.30635092 0.27859484 0.26027052 0.0911772  0.06360651]
 [0.36575158 0.31739746 0.23309832 0.05154257 0.03221007]]"
69,"[[0.2927985  0.27670222 0.20070126 0.12481186 0.10498617]
 [0.45819617 0.25983905 0.12909605 0.09871053 0.0541582 ]
 [0.46438218 0.25366701 0.15573281 0.10273051 0.02348749]
 [0.38367485 0.24217778 0.23131047 0.12161843 0.02121847]
 [0.27641982 0.25854873 0.23794461 0.21492441 0.01216243]]"
70,"[[0.34966794 0.34588052 0.20798677 0.09038991 0.00607486]
 [0.33328033 0.20648596 0.20614687 0.17369746 0.08038939]
 [0.44549634 0.29812218 0.09364326 0.08830119 0.07443702]
 [0.33307431 0.31701105 0.28981307 0.03788384 0.02221773]
 [0.37635766 0.3653218  0.10174555 0.09127882 0.06529617]]"
71,"[[0.35863316 0.19677198 0.18313266 0.1688858  0.0925764 ]
 [0.4558312  0.33048803 0.15656654 0.04677624 0.01033799]
 [0.36173782 0.31363525 0.2480611  0.06937412 0.00719172]
 [0.3489584  0.2381436  0.23010412 0.10704275 0.07575112]
 [0.32204553 0.27451806 0.20318032 0.18626148 0.0139946 ]]"
72,"[[0.2941667  0.26145475 0.16686657 0.16325988 0.1142521 ]
 [0.39458318 0.30416777 0.1720155  0.10937804 0.01985551]
 [0.24156143 0.22273293 0.21291853 0.21224517 0.11054195]
 [0.45567144 0.2267732  0.20337951 0.05842357 0.05575228]
 [0.38181184 0.2541009  0.14533854 0.11072565 0.10802307]]"
73,"[[0.24848556 0.24359776 0.21273668 0.16049761 0.13468239]
 [0.30146868 0.2745364  0.19853786 0.17945594 0.04600113]
 [0.37464904 0.27960343 0.20646799 0.12642404 0.01285551]
 [0.38155533 0.26119457 0.24678495 0.05584502 0.05462013]
 [0.2816698  0.24972642 0.21957765 0.19906692 0.04995921]]"
74,"[[0.37381921 0.27761014 0.22486864 0.07055953 0.05314247]
 [0.23454164 0.23057221 0.20912356 0.16723671 0.15852587]
 [0.35549575 0.27351922 0.15782754 0.12504963 0.08810786]
 [0.43332528 0.24293513 0.13786194 0.09873814 0.08713951]
 [0.31997463 0.30506234 0.2072175  0.14698552 0.02076001]]"
75,"[[0.41014244 0.31207558 0.16876238 0.0809412  0.02807839]
 [0.45100503 0.28218793 0.1398959  0.09802349 0.02888765]
 [0.31706726 0.20483413 0.16541444 0.16048658 0.15219759]
 [0.29146673 0.23471344 0.20341171 0.16038626 0.11002187]
 [0.38997844 0.2113135  0.20457519 0.13341939 0.06071349]]"
76,"[[0.27117909 0.26727112 0.19856767 0.13439799 0.12858413]
 [0.42980471 0.20483266 0.20099494 0.13930869 0.025059  ]
 [0.33874214 0.27393878 0.25323493 0.13096999 0.00311416]
 [0.36858258 0.23359422 0.22790411 0.1480105  0.02190858]
 [0.29827804 0.22142856 0.20251664 0.19730166 0.0804751 ]]"
77,"[[0.2738833  0.27231271 0.18706969 0.17828867 0.08844563]
 [0.5112978  0.28516447 0.12211196 0.06172833 0.01969745]
 [0.29557791 0.22685029 0.21789293 0.17176364 0.08791522]
 [0.36364769 0.36353125 0.11505835 0.10437383 0.05338888]
 [0.50310491 0.25550042 0.11169924 0.07810128 0.05159415]]"
78,"[[0.26160023 0.22754539 0.22648774 0.15624797 0.12811866]
 [0.41714791 0.24563725 0.12693545 0.12502509 0.08525431]
 [0.33603639 0.23452634 0.22196281 0.1359286  0.07154586]
 [0.51053635 0.20105652 0.12100714 0.10008775 0.06731224]
 [0.40206595 0.19627886 0.17453926 0.17014697 0.05696896]]"
79,"[[0.57384177 0.2440712  0.11022498 0.03828456 0.0335775 ]
 [0.49702048 0.34703943 0.07103741 0.04802265 0.03688004]
 [0.36168333 0.32562919 0.11597462 0.10594434 0.09076852]
 [0.39708384 0.23690961 0.20946971 0.13852875 0.0180081 ]
 [0.31974829 0.23048722 0.2214325  0.13765793 0.09067406]]"
80,"[[0.33180481 0.31115025 0.23452366 0.09338814 0.02913314]
 [0.40683518 0.40553244 0.12667583 0.05155847 0.0093981 ]
 [0.2936503  0.23576379 0.21776675 0.14161523 0.11120393]
 [0.36378424 0.25564129 0.24255917 0.12257388 0.01544141]
 [0.31392914 0.34314531 0.26472047 0.06893713 0.00926795]]"
81,"[[0.40013642 0.3139234  0.19067974 0.0713296  0.02393085]
 [0.32996174 0.32827228 0.22575164 0.0693908  0.04662353]
 [0.30390348 0.24812642 0.22940421 0.11563051 0.10293537]
 [0.31233184 0.28117507 0.25951423 0.10732112 0.03965773]
 [0.32532743 0.32055452 0.26783303 0.05271981 0.03356521]]"
