,0
13,"[[0.25541185 0.22496601 0.26008988 0.25953225 0.        ]
 [0.26008988 0.         0.25953225 0.22496601 0.25541185]
 [0.22496601 0.         0.26008988 0.25541185 0.25953225]
 [0.25953225 0.26008988 0.22496601 0.         0.25541185]
 [0.25953225 0.22496601 0.         0.26008988 0.25541185]]"
14,"[[0.25541185 0.22496601 0.26008988 0.25953225 0.        ]
 [0.22496601 0.26008988 0.25541185 0.         0.25953225]
 [0.25953225 0.26008988 0.         0.25541185 0.22496601]
 [0.22496601 0.25541185 0.         0.26008988 0.25953225]
 [0.22496601 0.25541185 0.26008988 0.         0.25953225]]"
15,"[[0.         0.26008988 0.25953225 0.25541185 0.22496601]
 [0.25953225 0.26008988 0.         0.25541185 0.22496601]
 [0.25541185 0.22496601 0.25953225 0.         0.26008988]
 [0.25541185 0.26008988 0.25953225 0.22496601 0.        ]
 [0.         0.25953225 0.22496601 0.25541185 0.26008988]]"
16,"[[0.         0.26008988 0.22496601 0.25953225 0.25541185]
 [0.26008988 0.22496601 0.25541185 0.         0.25953225]
 [0.26008988 0.25953225 0.         0.25541185 0.22496601]
 [0.22496601 0.26008988 0.25953225 0.25541185 0.        ]
 [0.         0.26008988 0.22496601 0.25541185 0.25953225]]"
17,"[[0.         0.22496601 0.25953225 0.26008988 0.25541185]
 [0.22496601 0.25953225 0.26008988 0.25541185 0.        ]
 [0.26008988 0.         0.25953225 0.22496601 0.25541185]
 [0.25953225 0.22496601 0.         0.26008988 0.25541185]
 [0.25541185 0.25953225 0.         0.26008988 0.22496601]]"
18,"[[0.25953225 0.26008988 0.22496601 0.25541185 0.        ]
 [0.22496601 0.25953225 0.25541185 0.26008988 0.        ]
 [0.22496601 0.25541185 0.26008988 0.25953225 0.        ]
 [0.26008988 0.25541185 0.         0.25953225 0.22496601]
 [0.25953225 0.         0.25541185 0.22496601 0.26008988]]"
19,"[[0.25953225 0.         0.22496601 0.26008988 0.25541185]
 [0.22496601 0.26008988 0.25953225 0.25541185 0.        ]
 [0.22496601 0.         0.25953225 0.26008988 0.25541185]
 [0.22496601 0.25541185 0.         0.25953225 0.26008988]
 [0.22496601 0.26008988 0.25953225 0.25541185 0.        ]]"
20,"[[0.         0.25953225 0.26008988 0.22496601 0.25541185]
 [0.22496601 0.25541185 0.25953225 0.26008988 0.        ]
 [0.         0.25541185 0.26008988 0.25953225 0.22496601]
 [0.25953225 0.26008988 0.22496601 0.25541185 0.        ]
 [0.25541185 0.         0.25953225 0.22496601 0.26008988]]"
21,"[[0.         0.11307249 0.11303969 0.09777423 0.11307763 0.11307761
  0.11307753 0.11100654 0.11279734 0.11307693]
 [0.11307761 0.11307693 0.09777423 0.11100654 0.11279734 0.11307249
  0.         0.11307753 0.11307763 0.11303969]
 [0.11307249 0.11279734 0.11307761 0.11303969 0.         0.11307693
  0.11307763 0.11100654 0.09777423 0.11307753]
 [0.09777423 0.11307761 0.11303969 0.11307753 0.11279734 0.11307763
  0.11307249 0.11100654 0.         0.11307693]
 [0.09777423 0.11307693 0.11307763 0.11307249 0.11279734 0.11303969
  0.11307753 0.11100654 0.         0.11307761]
 [0.11307763 0.11279734 0.         0.11307753 0.11307761 0.11307693
  0.11303969 0.09777423 0.11100654 0.11307249]
 [0.11307249 0.11307693 0.11307753 0.09777423 0.11307761 0.11279734
  0.11303969 0.11307763 0.         0.11100654]
 [0.11307693 0.11307761 0.11303969 0.11279734 0.         0.11100654
  0.09777423 0.11307753 0.11307763 0.11307249]
 [0.11279734 0.11307249 0.11307693 0.11303969 0.11307761 0.09777423
  0.         0.11307753 0.11100654 0.11307763]
 [0.11279734 0.09777423 0.11100654 0.11307693 0.11303969 0.
  0.11307249 0.11307753 0.11307761 0.11307763]]"
22,"[[0.09777423 0.11303969 0.11307763 0.11279734 0.11307753 0.11307249
  0.11307761 0.11100654 0.         0.11307693]
 [0.11307763 0.11307249 0.         0.11307761 0.11279734 0.11303969
  0.09777423 0.11100654 0.11307753 0.11307693]
 [0.11307693 0.11307763 0.11307761 0.11307249 0.11100654 0.11307753
  0.09777423 0.11303969 0.         0.11279734]
 [0.11100654 0.11307753 0.11307693 0.11307249 0.11307763 0.11303969
  0.11279734 0.09777423 0.11307761 0.        ]
 [0.11307763 0.11279734 0.11307693 0.11303969 0.09777423 0.11307761
  0.11100654 0.11307753 0.         0.11307249]
 [0.         0.11307761 0.09777423 0.11307763 0.11303969 0.11307753
  0.11100654 0.11307249 0.11279734 0.11307693]
 [0.11303969 0.11307761 0.09777423 0.11307753 0.11279734 0.11100654
  0.11307249 0.11307693 0.11307763 0.        ]
 [0.11307763 0.11279734 0.11307753 0.11303969 0.11307761 0.11307249
  0.09777423 0.11307693 0.         0.11100654]
 [0.11100654 0.11307763 0.         0.11307693 0.11279734 0.11303969
  0.11307753 0.09777423 0.11307249 0.11307761]
 [0.11279734 0.09777423 0.11307753 0.11100654 0.11307249 0.11307763
  0.11303969 0.         0.11307761 0.11307693]]"
23,"[[0.11303969 0.11307761 0.11279734 0.09777423 0.11307763 0.
  0.11100654 0.11307753 0.11307249 0.11307693]
 [0.11307693 0.         0.11307249 0.09777423 0.11303969 0.11307753
  0.11307763 0.11100654 0.11307761 0.11279734]
 [0.11303969 0.11307763 0.11307249 0.11307761 0.11279734 0.11100654
  0.09777423 0.11307753 0.11307693 0.        ]
 [0.11279734 0.11307761 0.11303969 0.11307249 0.11307763 0.11307693
  0.11100654 0.         0.11307753 0.09777423]
 [0.         0.11307693 0.11100654 0.11307753 0.11307763 0.11307249
  0.11303969 0.09777423 0.11279734 0.11307761]
 [0.11279734 0.         0.11307249 0.11303969 0.09777423 0.11307693
  0.11100654 0.11307753 0.11307761 0.11307763]
 [0.11100654 0.11307763 0.         0.11307761 0.09777423 0.11279734
  0.11307693 0.11303969 0.11307753 0.11307249]
 [0.11307761 0.11100654 0.09777423 0.11279734 0.         0.11307763
  0.11303969 0.11307753 0.11307249 0.11307693]
 [0.11279734 0.11100654 0.11307761 0.11307693 0.09777423 0.11307249
  0.         0.11303969 0.11307763 0.11307753]
 [0.09777423 0.11307753 0.11279734 0.11307761 0.         0.11307763
  0.11307693 0.11307249 0.11303969 0.11100654]]"
24,"[[0.11100654 0.11307249 0.11279734 0.11307763 0.         0.11307693
  0.11307761 0.11303969 0.11307753 0.09777423]
 [0.11279734 0.11303969 0.09777423 0.         0.11307761 0.11307763
  0.11307753 0.11307249 0.11307693 0.11100654]
 [0.11307693 0.         0.11279734 0.11307753 0.11307249 0.09777423
  0.11303969 0.11307763 0.11307761 0.11100654]
 [0.11307753 0.11100654 0.11307763 0.11303969 0.         0.11307693
  0.11307249 0.11279734 0.11307761 0.09777423]
 [0.         0.11307763 0.11307761 0.11307753 0.11307693 0.11279734
  0.11307249 0.11303969 0.09777423 0.11100654]
 [0.11307693 0.11100654 0.11307761 0.09777423 0.11307763 0.11303969
  0.11279734 0.         0.11307753 0.11307249]
 [0.11307753 0.11100654 0.11307693 0.11303969 0.11279734 0.11307763
  0.         0.11307761 0.11307249 0.09777423]
 [0.11307763 0.         0.11307761 0.11307753 0.11303969 0.11307693
  0.09777423 0.11307249 0.11279734 0.11100654]
 [0.11307761 0.11307693 0.11303969 0.11307249 0.         0.11279734
  0.11307763 0.09777423 0.11100654 0.11307753]
 [0.11307753 0.11307249 0.11307693 0.         0.11307763 0.09777423
  0.11303969 0.11307761 0.11279734 0.11100654]]"
25,"[[0.11307761 0.11307693 0.11307763 0.11279734 0.09777423 0.11307249
  0.11100654 0.         0.11303969 0.11307753]
 [0.09777423 0.11307753 0.11307693 0.11303969 0.11307763 0.11279734
  0.11307761 0.         0.11307249 0.11100654]
 [0.11100654 0.11303969 0.11307753 0.11279734 0.11307693 0.11307761
  0.09777423 0.11307763 0.         0.11307249]
 [0.         0.11307753 0.11307249 0.11307693 0.09777423 0.11100654
  0.11279734 0.11303969 0.11307761 0.11307763]
 [0.11100654 0.11307753 0.11307763 0.09777423 0.11307761 0.
  0.11307249 0.11279734 0.11307693 0.11303969]
 [0.11307249 0.11303969 0.11307753 0.11307763 0.09777423 0.11307693
  0.11100654 0.11307761 0.11279734 0.        ]
 [0.11100654 0.09777423 0.11303969 0.11279734 0.11307753 0.11307249
  0.11307761 0.         0.11307763 0.11307693]
 [0.11307761 0.11307249 0.11307763 0.11100654 0.11307753 0.11279734
  0.11307693 0.09777423 0.11303969 0.        ]
 [0.         0.11100654 0.11307763 0.11307249 0.11303969 0.11307761
  0.11307753 0.11307693 0.09777423 0.11279734]
 [0.11307761 0.         0.09777423 0.11279734 0.11307249 0.11100654
  0.11303969 0.11307693 0.11307763 0.11307753]]"
26,"[[0.09777423 0.11307753 0.11307761 0.         0.11307763 0.11303969
  0.11307693 0.11100654 0.11307249 0.11279734]
 [0.11307693 0.11100654 0.11307763 0.09777423 0.11307761 0.11279734
  0.11303969 0.         0.11307249 0.11307753]
 [0.11303969 0.09777423 0.11307763 0.11307249 0.         0.11307693
  0.11100654 0.11307761 0.11279734 0.11307753]
 [0.11100654 0.11307763 0.11307693 0.         0.11303969 0.09777423
  0.11307249 0.11307753 0.11307761 0.11279734]
 [0.11307249 0.09777423 0.         0.11100654 0.11279734 0.11307761
  0.11303969 0.11307753 0.11307763 0.11307693]
 [0.         0.09777423 0.11279734 0.11307693 0.11307249 0.11303969
  0.11307753 0.11307761 0.11100654 0.11307763]
 [0.11307249 0.11307753 0.09777423 0.11307693 0.11307761 0.11307763
  0.         0.11303969 0.11279734 0.11100654]
 [0.         0.11279734 0.11307249 0.09777423 0.11307753 0.11303969
  0.11307763 0.11100654 0.11307761 0.11307693]
 [0.         0.11307249 0.11307761 0.11303969 0.09777423 0.11100654
  0.11307693 0.11307753 0.11307763 0.11279734]
 [0.09777423 0.11307761 0.11307763 0.11303969 0.11100654 0.11307693
  0.11307249 0.11307753 0.         0.11279734]]"
27,"[[0.09777423 0.11303969 0.11307753 0.11307761 0.11307693 0.11100654
  0.11279734 0.11307249 0.         0.11307763]
 [0.11307763 0.11307693 0.09777423 0.11279734 0.11307761 0.11307753
  0.11100654 0.11307249 0.         0.11303969]
 [0.11307753 0.11307763 0.09777423 0.11303969 0.11279734 0.
  0.11307693 0.11307761 0.11100654 0.11307249]
 [0.11307763 0.11303969 0.09777423 0.11279734 0.11307753 0.11307761
  0.11100654 0.11307693 0.11307249 0.        ]
 [0.11307763 0.09777423 0.11307249 0.11307761 0.11279734 0.
  0.11307693 0.11100654 0.11307753 0.11303969]
 [0.11307763 0.11307761 0.11100654 0.11303969 0.11307753 0.11307693
  0.         0.11307249 0.09777423 0.11279734]
 [0.11307761 0.11303969 0.11307249 0.11307693 0.11100654 0.09777423
  0.11279734 0.11307763 0.         0.11307753]
 [0.11307249 0.11307753 0.09777423 0.11307763 0.11307761 0.
  0.11303969 0.11279734 0.11100654 0.11307693]
 [0.11303969 0.09777423 0.         0.11307249 0.11307761 0.11307753
  0.11100654 0.11307763 0.11307693 0.11279734]
 [0.11307761 0.         0.09777423 0.11279734 0.11307249 0.11303969
  0.11100654 0.11307763 0.11307693 0.11307753]]"
28,"[[0.11307753 0.11100654 0.11307763 0.11307761 0.09777423 0.11307249
  0.11279734 0.11307693 0.11303969 0.        ]
 [0.09777423 0.11100654 0.11303969 0.11307249 0.11307763 0.11307693
  0.11307753 0.11307761 0.11279734 0.        ]
 [0.11307761 0.11303969 0.         0.09777423 0.11100654 0.11307249
  0.11307753 0.11279734 0.11307763 0.11307693]
 [0.11307763 0.09777423 0.         0.11100654 0.11307249 0.11279734
  0.11303969 0.11307761 0.11307753 0.11307693]
 [0.11307249 0.11307763 0.11100654 0.11307753 0.09777423 0.
  0.11307693 0.11303969 0.11279734 0.11307761]
 [0.11307753 0.         0.11100654 0.11307249 0.11279734 0.11307761
  0.11303969 0.09777423 0.11307693 0.11307763]
 [0.09777423 0.11307763 0.11307693 0.11100654 0.11279734 0.11307753
  0.11307249 0.11303969 0.11307761 0.        ]
 [0.11307761 0.11307249 0.09777423 0.11303969 0.         0.11307763
  0.11307753 0.11100654 0.11279734 0.11307693]
 [0.11307753 0.11307693 0.11307761 0.11279734 0.         0.09777423
  0.11100654 0.11307763 0.11303969 0.11307249]
 [0.         0.09777423 0.11307763 0.11279734 0.11100654 0.11307753
  0.11307761 0.11303969 0.11307693 0.11307249]]"
29,"[[0.         0.11303969 0.09777423 0.11307249 0.11307693 0.11100654
  0.11307761 0.11307753 0.11307763 0.11279734]
 [0.         0.11307763 0.09777423 0.11100654 0.11307753 0.11307693
  0.11307761 0.11303969 0.11279734 0.11307249]
 [0.         0.11279734 0.11307761 0.09777423 0.11307753 0.11307763
  0.11303969 0.11100654 0.11307693 0.11307249]
 [0.11307693 0.11307753 0.11100654 0.11307763 0.11303969 0.09777423
  0.11307249 0.         0.11279734 0.11307761]
 [0.11100654 0.11307761 0.11303969 0.11307763 0.11307693 0.11307249
  0.11307753 0.         0.11279734 0.09777423]
 [0.11307761 0.11307753 0.         0.11307763 0.11279734 0.11307249
  0.11303969 0.11100654 0.09777423 0.11307693]
 [0.11307763 0.         0.09777423 0.11307693 0.11100654 0.11303969
  0.11307249 0.11307761 0.11307753 0.11279734]
 [0.11279734 0.         0.11307753 0.11307763 0.11307693 0.11307249
  0.11307761 0.11100654 0.11303969 0.09777423]
 [0.11307761 0.11307693 0.09777423 0.11279734 0.         0.11307249
  0.11303969 0.11307753 0.11100654 0.11307763]
 [0.11307753 0.         0.11100654 0.11303969 0.11307693 0.11307761
  0.09777423 0.11279734 0.11307763 0.11307249]]"
30,"[[0.11307693 0.09777423 0.11303969 0.11307753 0.11279734 0.11307761
  0.11100654 0.         0.11307249 0.11307763]
 [0.09777423 0.11307249 0.11303969 0.11279734 0.11307761 0.11307763
  0.         0.11307693 0.11307753 0.11100654]
 [0.11100654 0.11307249 0.11307763 0.11307753 0.11307693 0.09777423
  0.         0.11307761 0.11279734 0.11303969]
 [0.11307761 0.11307693 0.11100654 0.         0.11279734 0.09777423
  0.11303969 0.11307763 0.11307249 0.11307753]
 [0.11307693 0.11279734 0.         0.11307753 0.11307761 0.09777423
  0.11303969 0.11100654 0.11307249 0.11307763]
 [0.11307763 0.11303969 0.11307249 0.11307693 0.11279734 0.11307753
  0.09777423 0.11307761 0.         0.11100654]
 [0.09777423 0.11303969 0.11307249 0.11307693 0.11307761 0.
  0.11307763 0.11307753 0.11100654 0.11279734]
 [0.11307693 0.         0.11303969 0.11307763 0.11307249 0.11279734
  0.11307753 0.09777423 0.11307761 0.11100654]
 [0.09777423 0.11307249 0.11307693 0.11307753 0.         0.11307763
  0.11307761 0.11303969 0.11279734 0.11100654]
 [0.11307753 0.11307763 0.11279734 0.         0.11303969 0.11307761
  0.11100654 0.09777423 0.11307249 0.11307693]]"
31,"[[0.11307693 0.11307249 0.         0.09777423 0.11100654 0.11307763
  0.11307761 0.11279734 0.11307753 0.11303969]
 [0.09777423 0.11307763 0.11307249 0.11307693 0.11307761 0.11279734
  0.11303969 0.         0.11100654 0.11307753]
 [0.11279734 0.11100654 0.11303969 0.09777423 0.11307693 0.11307763
  0.11307249 0.11307753 0.11307761 0.        ]
 [0.11307693 0.11307763 0.11100654 0.11307761 0.         0.11307753
  0.11307249 0.11279734 0.09777423 0.11303969]
 [0.11307761 0.         0.11307763 0.11303969 0.11307753 0.11279734
  0.09777423 0.11307693 0.11307249 0.11100654]
 [0.11307693 0.11307249 0.11100654 0.11307763 0.         0.11303969
  0.11279734 0.11307753 0.11307761 0.09777423]
 [0.11307249 0.11307763 0.09777423 0.         0.11307693 0.11100654
  0.11307753 0.11303969 0.11307761 0.11279734]
 [0.09777423 0.11279734 0.11307693 0.11303969 0.11100654 0.11307249
  0.11307763 0.         0.11307761 0.11307753]
 [0.11307763 0.11100654 0.         0.11303969 0.11307249 0.09777423
  0.11307753 0.11307693 0.11279734 0.11307761]
 [0.11100654 0.11307693 0.11307761 0.11279734 0.11307753 0.11307763
  0.         0.11303969 0.11307249 0.09777423]]"
32,"[[0.11279734 0.         0.11307693 0.09777423 0.11303969 0.11100654
  0.11307249 0.11307753 0.11307763 0.11307761]
 [0.11307763 0.11307249 0.11100654 0.11307761 0.         0.11303969
  0.11279734 0.11307753 0.09777423 0.11307693]
 [0.11307761 0.11307753 0.11307249 0.09777423 0.11307763 0.11303969
  0.11307693 0.         0.11100654 0.11279734]
 [0.         0.11307753 0.11279734 0.11307693 0.11307761 0.11307249
  0.11307763 0.09777423 0.11303969 0.11100654]
 [0.11307763 0.11279734 0.11307761 0.11100654 0.09777423 0.
  0.11307249 0.11307753 0.11303969 0.11307693]
 [0.         0.11307761 0.11307763 0.11279734 0.11307753 0.09777423
  0.11307693 0.11307249 0.11303969 0.11100654]
 [0.11279734 0.09777423 0.11307753 0.11307763 0.11303969 0.
  0.11307761 0.11100654 0.11307249 0.11307693]
 [0.         0.11307753 0.11100654 0.11307693 0.11303969 0.11279734
  0.11307249 0.09777423 0.11307763 0.11307761]
 [0.11307249 0.09777423 0.11279734 0.11307761 0.         0.11303969
  0.11100654 0.11307693 0.11307763 0.11307753]
 [0.11303969 0.09777423 0.11100654 0.11279734 0.         0.11307249
  0.11307761 0.11307763 0.11307753 0.11307693]]"
33,"[[0.11307753 0.11303969 0.09777423 0.11307693 0.11100654 0.
  0.11279734 0.11307761 0.11307249 0.11307763]
 [0.11307761 0.09777423 0.11307693 0.11307753 0.         0.11100654
  0.11303969 0.11307763 0.11279734 0.11307249]
 [0.11307763 0.11307693 0.11307761 0.11303969 0.11307249 0.11100654
  0.         0.09777423 0.11279734 0.11307753]
 [0.11307249 0.09777423 0.11307761 0.11100654 0.11307763 0.
  0.11279734 0.11307753 0.11307693 0.11303969]
 [0.11279734 0.11303969 0.         0.11307693 0.11307763 0.11307761
  0.11307753 0.11307249 0.11100654 0.09777423]
 [0.         0.11307763 0.11307753 0.11307249 0.11307761 0.11303969
  0.11279734 0.11307693 0.09777423 0.11100654]
 [0.11307693 0.11279734 0.11307249 0.11307761 0.         0.11303969
  0.09777423 0.11100654 0.11307753 0.11307763]
 [0.11307763 0.11307693 0.11100654 0.09777423 0.11307761 0.11303969
  0.11307249 0.         0.11279734 0.11307753]
 [0.09777423 0.11307249 0.11279734 0.11100654 0.11307761 0.11307753
  0.11303969 0.         0.11307693 0.11307763]
 [0.11307753 0.11307761 0.11307693 0.11303969 0.         0.11279734
  0.11307249 0.11307763 0.09777423 0.11100654]]"
34,"[[0.11307753 0.09777423 0.11100654 0.11303969 0.11307761 0.11307249
  0.11279734 0.11307763 0.11307693 0.        ]
 [0.11307753 0.11303969 0.         0.11307761 0.11279734 0.11307249
  0.11307693 0.09777423 0.11307763 0.11100654]
 [0.11307249 0.11307753 0.11279734 0.11100654 0.11307693 0.09777423
  0.11307763 0.11303969 0.         0.11307761]
 [0.11100654 0.11279734 0.11307693 0.09777423 0.11307761 0.11307249
  0.11307753 0.         0.11303969 0.11307763]
 [0.11303969 0.11307249 0.11279734 0.09777423 0.11307763 0.11307761
  0.         0.11100654 0.11307753 0.11307693]
 [0.09777423 0.11100654 0.11307753 0.11307761 0.11307693 0.
  0.11307249 0.11279734 0.11307763 0.11303969]
 [0.11307763 0.11307693 0.11279734 0.11100654 0.11307753 0.11307249
  0.         0.11303969 0.09777423 0.11307761]
 [0.11100654 0.11303969 0.11279734 0.         0.09777423 0.11307761
  0.11307693 0.11307753 0.11307763 0.11307249]
 [0.09777423 0.         0.11307753 0.11303969 0.11100654 0.11307693
  0.11307761 0.11307763 0.11307249 0.11279734]
 [0.11279734 0.11307249 0.11307763 0.11307761 0.11307693 0.11100654
  0.09777423 0.11303969 0.         0.11307753]]"
35,"[[0.11307761 0.11100654 0.11307753 0.09777423 0.11307693 0.11303969
  0.         0.11307763 0.11279734 0.11307249]
 [0.11307249 0.09777423 0.         0.11100654 0.11303969 0.11307761
  0.11279734 0.11307763 0.11307693 0.11307753]
 [0.11307249 0.09777423 0.11100654 0.         0.11279734 0.11307763
  0.11307693 0.11307753 0.11307761 0.11303969]
 [0.11307693 0.11307753 0.09777423 0.11279734 0.11307763 0.11307249
  0.         0.11307761 0.11303969 0.11100654]
 [0.11307761 0.11307249 0.         0.11307763 0.11307693 0.11307753
  0.11303969 0.09777423 0.11279734 0.11100654]
 [0.09777423 0.11100654 0.         0.11307761 0.11307249 0.11307763
  0.11307753 0.11303969 0.11307693 0.11279734]
 [0.11307753 0.11100654 0.11307693 0.         0.11307763 0.11307761
  0.11307249 0.11303969 0.11279734 0.09777423]
 [0.11100654 0.11303969 0.09777423 0.11279734 0.11307693 0.11307761
  0.11307753 0.         0.11307763 0.11307249]
 [0.11307763 0.11303969 0.11307249 0.11100654 0.11307761 0.11279734
  0.09777423 0.11307753 0.11307693 0.        ]
 [0.11303969 0.11307753 0.11307763 0.11307249 0.09777423 0.11100654
  0.11307761 0.         0.11307693 0.11279734]]"
36,"[[0.09777423 0.11303969 0.         0.11307761 0.11279734 0.11307249
  0.11307753 0.11100654 0.11307763 0.11307693]
 [0.11307761 0.11100654 0.11307693 0.11307763 0.09777423 0.
  0.11279734 0.11307753 0.11303969 0.11307249]
 [0.11303969 0.11307693 0.11307761 0.11307763 0.11279734 0.11307249
  0.         0.09777423 0.11307753 0.11100654]
 [0.         0.11307753 0.11303969 0.11307693 0.11307249 0.09777423
  0.11307763 0.11279734 0.11307761 0.11100654]
 [0.11307249 0.11307753 0.11100654 0.         0.09777423 0.11307761
  0.11307693 0.11279734 0.11303969 0.11307763]
 [0.11303969 0.11279734 0.11307753 0.11307763 0.11307249 0.09777423
  0.11307693 0.         0.11100654 0.11307761]
 [0.11307693 0.         0.11100654 0.11303969 0.11307249 0.11307761
  0.11307753 0.11279734 0.09777423 0.11307763]
 [0.11307249 0.         0.09777423 0.11307763 0.11303969 0.11279734
  0.11307761 0.11307693 0.11100654 0.11307753]
 [0.11307763 0.11307693 0.11307761 0.         0.11307753 0.11303969
  0.11279734 0.11307249 0.11100654 0.09777423]
 [0.11307753 0.11307761 0.11100654 0.11307693 0.11307763 0.09777423
  0.11303969 0.11307249 0.11279734 0.        ]]"
37,"[[0.         0.11307249 0.11279734 0.11307753 0.11307763 0.11307693
  0.09777423 0.11307761 0.11100654 0.11303969]
 [0.09777423 0.11307761 0.11100654 0.11307763 0.         0.11307753
  0.11279734 0.11307693 0.11303969 0.11307249]
 [0.         0.11307249 0.11307763 0.11100654 0.11303969 0.11307753
  0.11279734 0.11307761 0.09777423 0.11307693]
 [0.11100654 0.11307763 0.11307753 0.11303969 0.         0.11307761
  0.11307693 0.11307249 0.11279734 0.09777423]
 [0.11307753 0.11100654 0.11307249 0.11279734 0.         0.09777423
  0.11307763 0.11307693 0.11303969 0.11307761]
 [0.11307761 0.11307249 0.11100654 0.11279734 0.11307693 0.
  0.11303969 0.09777423 0.11307753 0.11307763]
 [0.11307761 0.11279734 0.09777423 0.         0.11307693 0.11307763
  0.11100654 0.11307753 0.11303969 0.11307249]
 [0.11307693 0.11303969 0.11307753 0.11307249 0.11100654 0.11307761
  0.11279734 0.         0.11307763 0.09777423]
 [0.11307693 0.11100654 0.11307761 0.11307753 0.09777423 0.11307249
  0.11279734 0.11303969 0.11307763 0.        ]
 [0.11100654 0.09777423 0.         0.11307693 0.11307763 0.11279734
  0.11307753 0.11307249 0.11303969 0.11307761]]"
